1 0.848068 M
2 0.870346 M
3 0.878403 M
4 0.893661 M
5 0.918488 M
6 0.940887 M
7 0.968826 M
8 0.993744 M
9 1.00087 M
10 1.01892 M
11 1.03113 M
12 1.04446 M
13 1.04662 M
14 1.05055 M
15 1.05136 M
16 1.05656 M
17 1.05656 M
18 1.05656 M
19 1.05737 M
20 1.05914 M
21 1.06718 M
22 1.07262 M
23 1.07262 M
24 1.07262 M
25 1.07356 M
26 1.07356 M
27 1.07835 M
28 1.07835 M
29 1.07835 M
30 1.07835 M
31 1.07835 M
32 1.07835 M
33 1.08133 M
34 1.08133 M
35 1.08331 M
36 1.08331 M
37 1.0843 M
38 1.0843 M
39 1.0843 M
40 1.0843 M
41 1.08408 M
42 1.0843 M
43 1.08397 M
44 1.08405 M
45 1.0843 M
46 1.0843 M
47 1.0843 M
48 1.08307 M
49 1.08377 M
50 1.0843 M
51 1.0843 M
52 1.08362 M
53 1.08348 M
54 1.08305 M
55 1.08327 M
56 1.08273 M
57 1.08345 M
58 1.08293 M
59 1.08286 M
60 1.08395 M
61 1.0836 M
62 1.08289 M
63 1.0843 M
64 1.08386 M
65 1.08394 M
66 1.08344 M
67 1.08359 M
68 1.08345 M
69 1.0835 M
70 1.08395 M
71 1.08405 M
72 1.08379 M
73 1.10847 M
74 1.09322 M
75 1.09322 M
76 1.09322 M
77 1.09348 M
78 1.09348 M
79 1.09348 M
80 1.09348 M
81 1.09348 M
82 1.09334 M
83 1.09348 M
84 1.09294 M
85 1.09348 M
86 1.1179 M
87 1.11758 M
88 1.11772 M
89 1.1179 M
90 1.11763 M
91 1.11763 M
92 1.11763 M
93 1.1179 M
94 1.1179 M
95 1.11665 M
96 1.1179 M
97 1.11766 M
98 1.1179 M
99 1.11766 M
100 1.1179 M
101 1.1179 M
102 1.1179 M
103 1.11723 M
104 1.1179 M
105 1.1179 M
106 1.1179 M
107 1.1179 M
108 1.1179 M
109 1.11754 M
110 1.1172 M
111 1.1172 M
112 1.11681 M
113 1.11748 M
114 1.11748 M
115 1.11748 M
116 1.11702 M
117 1.11716 M
118 1.11716 M
119 1.11748 M
120 1.11748 M
121 1.11748 M
122 1.11765 M
123 1.1179 M
124 1.1179 M
125 1.11757 M
126 1.11748 M
127 1.1179 M
128 1.1179 M
129 1.1179 M
130 1.11758 M
131 1.1179 M
132 1.11739 M
133 1.11765 M
134 1.11765 M
135 1.11754 M
136 1.1179 M
137 1.1179 M
138 1.1179 M
139 1.1179 M
140 1.11739 M
141 1.1171 M
142 1.1179 M
143 1.1179 M
144 1.11746 M
145 1.11765 M
146 1.1179 M
147 1.11763 M
148 1.11748 M
149 1.11748 M
150 1.11748 M
151 1.1179 M
152 1.11748 M
153 1.11748 M
154 1.11748 M
