Ridgerunner 2.3.1
Built Sep 13 2026, 00:43:43.
plCurve Version: 10.1.0
Octrope Version: 10.1.0
tsnnls Version: 2.5.1
Seeded from dev/random with seed -628719301.
Loaded 12 component, 576 vertex plCurve from seed2718.vect.
Saved copy of seed2718.vect to ./seed2718.rr/seed2718.vect.
Curve has thickness 0.475007. Scaling to thickness 0.501.
Scaled curve has thickness 0.501.
 Autoscale selftest ok.
Rerez'd, autoscaled, eq'd file written to ./seed2718.rr/seed2718.atstart.vect.
Overstep tolerance: 0.000100 of thickness 0.500000 (0.499950) minminrad: 0.49997500
ridgerunner: Curses screen display disabled, using stdout.
             Define CURSES_DISPLAY to enable better screen display.
ridgerunner: Starting run. Will stop if 
               step number >= 300 
               residual < 0 
               ropelength decrease over last 20 steps < -1000.

   1 Rop: 730.95711917249 Str:   0 MRstruts:   0 Thi: 0.5000010 
   2 Rop: 730.95754454262 Str:   2 MRstruts:   0 Thi: 0.5000000 
   3 Rop: 730.95006378143 Str:   4 MRstruts:   0 Thi: 0.5000000 
   4 Rop: 730.57718751783 Str:  10 MRstruts:   0 Thi: 0.4989916 
   5 Rop: 730.57720040307 Str:   2 MRstruts:   0 Thi: 0.5000000 
   6 Rop: 730.35079785158 Str:   4 MRstruts:   0 Thi: 0.4999985 
   7 Rop: 729.59458853726 Str:  14 MRstruts:   0 Thi: 0.4992567 
   8 Rop: 729.59458686235 Str:   2 MRstruts:   0 Thi: 0.5000000 
   9 Rop: 729.43417575931 Str:   2 MRstruts:   0 Thi: 0.4999999 
  10 Rop: 729.43349353563 Str:   4 MRstruts:   0 Thi: 0.4999999 
  11 Rop: 729.23970765065 Str:   8 MRstruts:   0 Thi: 0.4999232 
  12 Rop: 729.23971154079 Str:   2 MRstruts:   0 Thi: 0.5000000 
  13 Rop: 729.23952371233 Str:   3 MRstruts:   0 Thi: 0.5000000 
  14 Rop: 729.23951301420 Str:   4 MRstruts:   0 Thi: 0.5000000 
  15 Rop: 729.17939323078 Str:   6 MRstruts:   0 Thi: 0.4999994 
  16 Rop: 729.16223674998 Str:   8 MRstruts:   0 Thi: 0.4999994 
  17 Rop: 729.08183228141 Str:  10 MRstruts:   0 Thi: 0.4999993 
  18 Rop: 727.90388126793 Str:  18 MRstruts:   0 Thi: 0.4992599 
  19 Rop: 727.90389397464 Str:   2 MRstruts:   0 Thi: 0.5000000 
  20 Rop: 727.90167845388 Str:   4 MRstruts:   0 Thi: 0.4999887 
  21 Rop: 727.60585297697 Str:   6 MRstruts:   0 Thi: 0.4999847 
  22 Rop: 727.54101054165 Str:   8 MRstruts:   0 Thi: 0.4999842 
  23 Rop: 727.38978639248 Str:  10 MRstruts:   0 Thi: 0.4999823 
  24 Rop: 727.23640831700 Str:  12 MRstruts:   0 Thi: 0.4999813 
  25 Rop: 726.79633498319 Str:  18 MRstruts:   0 Thi: 0.4997836 
  26 Rop: 726.79635225686 Str:   2 MRstruts:   0 Thi: 0.5000000 
  27 Rop: 726.79382961446 Str:   4 MRstruts:   0 Thi: 0.5000000 
  28 Rop: 726.76864265880 Str:   6 MRstruts:   0 Thi: 0.4999999 
  29 Rop: 726.65562530898 Str:   8 MRstruts:   0 Thi: 0.4999994 
  30 Rop: 726.64436018945 Str:  10 MRstruts:   0 Thi: 0.4999993 
  31 Rop: 726.61236468293 Str:  12 MRstruts:   0 Thi: 0.4999993 
  32 Rop: 726.55988123663 Str:  14 MRstruts:   0 Thi: 0.4999988 
  33 Rop: 726.53070299472 Str:  20 MRstruts:   0 Thi: 0.4999860 
  34 Rop: 726.32946001201 Str:  22 MRstruts:   0 Thi: 0.4999847 
  35 Rop: 724.75426930568 Str:  26 MRstruts:   0 Thi: 0.4995514 
  36 Rop: 724.75429235441 Str:   2 MRstruts:   0 Thi: 0.5000000 
  37 Rop: 724.75350982250 Str:   4 MRstruts:   0 Thi: 0.5000000 
  38 Rop: 724.47321934247 Str:   6 MRstruts:   0 Thi: 0.4999974 
  39 Rop: 724.42003533932 Str:   8 MRstruts:   0 Thi: 0.4999974 
  40 Rop: 724.40386846636 Str:  14 MRstruts:   0 Thi: 0.4999965 
  41 Rop: 724.39914257604 Str:  16 MRstruts:   0 Thi: 0.4999965 
  42 Rop: 724.36358563446 Str:  18 MRstruts:   0 Thi: 0.4999964 
  43 Rop: 724.34683755058 Str:  20 MRstruts:   0 Thi: 0.4999964 
  44 Rop: 723.83207101064 Str:  34 MRstruts:   0 Thi: 0.4993298 
  45 Rop: 723.83207107666 Str:   2 MRstruts:   0 Thi: 0.5000000 
  46 Rop: 723.82580212421 Str:   4 MRstruts:   0 Thi: 0.4999999 
  47 Rop: 723.65295796857 Str:   6 MRstruts:   0 Thi: 0.4999993 
  48 Rop: 723.64606162404 Str:   8 MRstruts:   0 Thi: 0.4999993 
  49 Rop: 723.59105178406 Str:  10 MRstruts:   0 Thi: 0.4999991 
  50 Rop: 723.49247411800 Str:  12 MRstruts:   0 Thi: 0.4999983 
  51 Rop: 723.40533051083 Str:  14 MRstruts:   0 Thi: 0.4999977 
  52 Rop: 723.38024033534 Str:  16 MRstruts:   0 Thi: 0.4999976 
  53 Rop: 723.36348103464 Str:  18 MRstruts:   0 Thi: 0.4999976 
  54 Rop: 723.35783710130 Str:  20 MRstruts:   0 Thi: 0.4999976 
  55 Rop: 723.31047868173 Str:  22 MRstruts:   0 Thi: 0.4999973 
  56 Rop: 723.26977805210 Str:  24 MRstruts:   0 Thi: 0.4999970 
  57 Rop: 723.03326108075 Str:  42 MRstruts:   0 Thi: 0.4995749 
  58 Rop: 723.03325767485 Str:   2 MRstruts:   0 Thi: 0.5000000 
  59 Rop: 723.02905667723 Str:   2 MRstruts:   0 Thi: 0.5000000 
  60 Rop: 723.02904297108 Str:   4 MRstruts:   0 Thi: 0.5000000 
  61 Rop: 723.02675623571 Str:   6 MRstruts:   0 Thi: 0.5000000 
  62 Rop: 723.01489870260 Str:   8 MRstruts:   0 Thi: 0.4999998 
  63 Rop: 722.95086852020 Str:  10 MRstruts:   0 Thi: 0.4999997 
  64 Rop: 722.94096260613 Str:  12 MRstruts:   0 Thi: 0.4999996 
  65 Rop: 722.82147961491 Str:  14 MRstruts:   0 Thi: 0.4999987 
  66 Rop: 722.81822201985 Str:  16 MRstruts:   0 Thi: 0.4999987 
  67 Rop: 722.81535299578 Str:  18 MRstruts:   0 Thi: 0.4999987 
