Ridgerunner 2.3.1
Built Sep 13 2026, 00:43:43.
plCurve Version: 10.1.0
Octrope Version: 10.1.0
tsnnls Version: 2.5.1
Seeded from dev/random with seed -1536993344.
Loaded 12 component, 576 vertex plCurve from seed3141.vect.
Saved copy of seed3141.vect to ./seed3141.rr/seed3141.vect.
Curve has thickness 0.490363. Scaling to thickness 0.501.
Scaled curve has thickness 0.501.
 Autoscale selftest ok.
Rerez'd, autoscaled, eq'd file written to ./seed3141.rr/seed3141.atstart.vect.
Overstep tolerance: 0.000100 of thickness 0.500000 (0.499950) minminrad: 0.49997500
ridgerunner: Curses screen display disabled, using stdout.
             Define CURSES_DISPLAY to enable better screen display.
ridgerunner: Starting run. Will stop if 
               step number >= 300 
               residual < 0 
               ropelength decrease over last 20 steps < -1000.

  67 Rop: 754.06139156686 Str:  40 MRstruts:   0 Thi: 0.4999993 
  68 Rop: 754.06047897542 Str:  42 MRstruts:   0 Thi: 0.4999993 
  69 Rop: 754.03335430400 Str:  54 MRstruts:   0 Thi: 0.4999131 
  70 Rop: 754.03336239759 Str:   1 MRstruts:   0 Thi: 0.5000000 
  71 Rop: 754.03334762806 Str:   2 MRstruts:   0 Thi: 0.5000000 
  72 Rop: 754.03330333605 Str:   4 MRstruts:   0 Thi: 0.5000000 
  73 Rop: 754.02997410101 Str:   6 MRstruts:   0 Thi: 0.4999999 
  74 Rop: 754.02567423680 Str:  10 MRstruts:   0 Thi: 0.4999904 
  75 Rop: 754.00881292447 Str:  18 MRstruts:   0 Thi: 0.4999904 
  76 Rop: 754.00438260865 Str:  24 MRstruts:   0 Thi: 0.4999904 
  77 Rop: 753.99236696156 Str:  32 MRstruts:   0 Thi: 0.4999904 
  78 Rop: 753.98755873300 Str:  36 MRstruts:   0 Thi: 0.4999904 
  79 Rop: 753.97903308256 Str:  42 MRstruts:   0 Thi: 0.4999904 
  80 Rop: 753.96607455907 Str:  46 MRstruts:   0 Thi: 0.4999903 
  81 Rop: 753.91954747343 Str:  59 MRstruts:   0 Thi: 0.4996030 
  82 Rop: 753.91956586066 Str:   2 MRstruts:   0 Thi: 0.5000000 
  83 Rop: 753.91676632718 Str:   3 MRstruts:   0 Thi: 0.5000000 
  84 Rop: 753.91673151117 Str:   4 MRstruts:   0 Thi: 0.5000000 
  85 Rop: 753.89224670197 Str:   4 MRstruts:   0 Thi: 0.5000000 
  86 Rop: 753.89220394847 Str:   6 MRstruts:   0 Thi: 0.5000000 
  87 Rop: 753.78841367002 Str:   8 MRstruts:   0 Thi: 0.4999993 
  88 Rop: 753.78378681634 Str:  10 MRstruts:   0 Thi: 0.4999993 
  89 Rop: 753.77386122320 Str:  12 MRstruts:   0 Thi: 0.4999993 
  90 Rop: 753.75601107354 Str:  14 MRstruts:   0 Thi: 0.4999993 
  91 Rop: 753.74647249561 Str:  16 MRstruts:   0 Thi: 0.4999993 
  92 Rop: 753.74504375518 Str:  18 MRstruts:   0 Thi: 0.4999993 
  93 Rop: 753.74097599405 Str:  20 MRstruts:   0 Thi: 0.4999993 
  94 Rop: 753.73603696324 Str:  22 MRstruts:   0 Thi: 0.4999993 
