Ridgerunner 2.3.1
Built Sep 13 2026, 00:43:43.
plCurve Version: 10.1.0
Octrope Version: 10.1.0
tsnnls Version: 2.5.1
Seeded from dev/random with seed 1659306896.
Loaded 1 component, 47 vertex plCurve from trefoil47.vect.
Saved copy of trefoil47.vect to ./trefoil47.rr/trefoil47.vect.
Curve has thickness 1.54794. Scaling to thickness 0.501.
Scaled curve has thickness 0.501.
 Autoscale selftest ok.
Rerez'd, autoscaled, eq'd file written to ./trefoil47.rr/trefoil47.atstart.vect.
Overstep tolerance: 0.000100 of thickness 0.500000 (0.499950) minminrad: 0.49997500
ridgerunner: Curses screen display disabled, using stdout.
             Define CURSES_DISPLAY to enable better screen display.
ridgerunner: Starting run. Will stop if 
               step number >= 5000 
               residual < 0 
               ropelength decrease over last 20 steps < -1000.

  67 Rop: 34.82520690356 Str:   8 MRstruts:   0 Thi: 0.4999997 
  68 Rop: 34.82225290324 Str:   9 MRstruts:   0 Thi: 0.4999997 
  69 Rop: 34.81883219464 Str:  12 MRstruts:   0 Thi: 0.4998258 
  70 Rop: 34.81883701529 Str:   2 MRstruts:   0 Thi: 0.4999998 
  71 Rop: 34.81446510580 Str:   5 MRstruts:   0 Thi: 0.4999847 
  72 Rop: 34.81366409979 Str:   5 MRstruts:   0 Thi: 0.4999846 
  73 Rop: 34.81245446283 Str:   7 MRstruts:   0 Thi: 0.4999846 
  74 Rop: 34.81161003350 Str:   8 MRstruts:   0 Thi: 0.4999844 
  75 Rop: 34.81038054373 Str:   9 MRstruts:   0 Thi: 0.4999844 
  76 Rop: 34.80654904700 Str:  10 MRstruts:   0 Thi: 0.4999844 
  77 Rop: 34.76921036638 Str:  17 MRstruts:   0 Thi: 0.4984230 
  78 Rop: 34.74577046812 Str:   1 MRstruts:   0 Thi: 0.4999994 
  79 Rop: 34.74574998481 Str:   2 MRstruts:   0 Thi: 0.4999994 
  80 Rop: 34.73169635362 Str:   3 MRstruts:   0 Thi: 0.4999977 
  81 Rop: 34.72341134193 Str:   4 MRstruts:   0 Thi: 0.4999976 
  82 Rop: 34.72320913087 Str:   5 MRstruts:   0 Thi: 0.4999976 
  83 Rop: 34.71109493734 Str:   6 MRstruts:   0 Thi: 0.4999971 
  84 Rop: 34.70484049500 Str:   7 MRstruts:   0 Thi: 0.4999970 
  85 Rop: 34.70321716522 Str:   8 MRstruts:   0 Thi: 0.4999970 
  86 Rop: 34.69778398773 Str:  10 MRstruts:   0 Thi: 0.4999784 
  87 Rop: 34.69520330654 Str:  12 MRstruts:   0 Thi: 0.4999782 
  88 Rop: 34.68731905055 Str:  17 MRstruts:   0 Thi: 0.4996947 
  89 Rop: 34.68730089761 Str:   2 MRstruts:   0 Thi: 0.5000000 
  90 Rop: 34.68203924027 Str:   3 MRstruts:   0 Thi: 0.4999999 
  91 Rop: 34.67877201231 Str:   3 MRstruts:   0 Thi: 0.4999999 
  92 Rop: 34.67875569384 Str:   4 MRstruts:   0 Thi: 0.4999999 
  93 Rop: 34.67811533544 Str:   5 MRstruts:   0 Thi: 0.4999998 
  94 Rop: 34.67792726006 Str:   6 MRstruts:   0 Thi: 0.4999998 
  95 Rop: 34.67791817123 Str:   7 MRstruts:   0 Thi: 0.4999998 
  96 Rop: 34.67684113469 Str:   8 MRstruts:   0 Thi: 0.4999997 
  97 Rop: 34.67218574470 Str:  10 MRstruts:   0 Thi: 0.4999918 
  98 Rop: 34.67107927221 Str:  11 MRstruts:   0 Thi: 0.4999918 
  99 Rop: 34.66509822304 Str:  19 MRstruts:   0 Thi: 0.4987323 
 100 Rop: 34.66407349777 Str:   2 MRstruts:   0 Thi: 0.5000000 
 101 Rop: 34.65568203796 Str:   2 MRstruts:   0 Thi: 0.4999999 
 102 Rop: 34.65566527273 Str:   3 MRstruts:   0 Thi: 0.4999999 
 103 Rop: 34.64369479177 Str:   3 MRstruts:   0 Thi: 0.4999995 
 104 Rop: 34.64365864254 Str:   4 MRstruts:   0 Thi: 0.4999995 
 105 Rop: 34.63347381409 Str:   6 MRstruts:   0 Thi: 0.4999918 
 106 Rop: 34.62835771632 Str:   7 MRstruts:   0 Thi: 0.4999911 
 107 Rop: 34.62802212820 Str:   8 MRstruts:   0 Thi: 0.4999911 
 108 Rop: 34.62252316716 Str:   9 MRstruts:   0 Thi: 0.4999911 
 109 Rop: 34.61605606497 Str:  10 MRstruts:   0 Thi: 0.4999901 
 110 Rop: 34.61456490034 Str:  11 MRstruts:   0 Thi: 0.4999899 
 111 Rop: 34.59906727992 Str:  13 MRstruts:   0 Thi: 0.4999767 
 112 Rop: 34.58092199786 Str:  18 MRstruts:   0 Thi: 0.4996022 
 113 Rop: 34.57277404266 Str:   5 MRstruts:   0 Thi: 0.4999397 
 114 Rop: 34.57271884260 Str:   1 MRstruts:   0 Thi: 0.5000000 
 115 Rop: 34.57273299993 Str:   2 MRstruts:   0 Thi: 0.4999997 
 116 Rop: 34.57217089075 Str:   3 MRstruts:   0 Thi: 0.4999997 
 117 Rop: 34.57133396727 Str:   4 MRstruts:   0 Thi: 0.4999997 
 118 Rop: 34.57052470773 Str:   5 MRstruts:   0 Thi: 0.4999997 
 119 Rop: 34.57035336161 Str:   6 MRstruts:   0 Thi: 0.4999997 
 120 Rop: 34.57003055608 Str:   7 MRstruts:   0 Thi: 0.4999997 
 121 Rop: 34.56771295817 Str:   7 MRstruts:   0 Thi: 0.4999996 
 122 Rop: 34.56769694829 Str:   8 MRstruts:   0 Thi: 0.4999996 
 123 Rop: 34.56313643813 Str:   9 MRstruts:   0 Thi: 0.4999993 
 124 Rop: 34.56304090598 Str:  11 MRstruts:   0 Thi: 0.4999993 
 125 Rop: 34.56078328065 Str:  14 MRstruts:   0 Thi: 0.4999864 
 126 Rop: 34.55253089904 Str:  16 MRstruts:   0 Thi: 0.4999723 
 127 Rop: 34.36945542923 Str:  23 MRstruts:   0 Thi: 0.4977531 
 128 Rop: 34.36843508051 Str:   2 MRstruts:   0 Thi: 0.4999997 
 129 Rop: 34.35597628567 Str:   3 MRstruts:   0 Thi: 0.4999965 
 130 Rop: 34.33443051600 Str:   4 MRstruts:   0 Thi: 0.4999944 
 131 Rop: 34.33339643432 Str:   5 MRstruts:   0 Thi: 0.4999944 
 132 Rop: 34.31267507898 Str:   6 MRstruts:   0 Thi: 0.4999931 
 133 Rop: 34.29908668913 Str:   8 MRstruts:   0 Thi: 0.4999914 
 134 Rop: 34.29845985399 Str:   9 MRstruts:   0 Thi: 0.4999913 
 135 Rop: 34.29566656319 Str:  11 MRstruts:   0 Thi: 0.4999910 
 136 Rop: 34.28256557461 Str:  12 MRstruts:   0 Thi: 0.4999904 
 137 Rop: 34.27838333522 Str:  13 MRstruts:   0 Thi: 0.4999898 
 138 Rop: 34.26659684764 Str:  14 MRstruts:   0 Thi: 0.4999879 
 139 Rop: 34.22971899867 Str:  16 MRstruts:   0 Thi: 0.4998118 
 140 Rop: 34.22964057332 Str:   2 MRstruts:   0 Thi: 0.5000000 
 141 Rop: 34.22501367163 Str:   2 MRstruts:   0 Thi: 0.5000000 
 142 Rop: 34.22502343429 Str:   3 MRstruts:   0 Thi: 0.4999997 
 143 Rop: 34.22479929465 Str:   4 MRstruts:   0 Thi: 0.4999997 
 144 Rop: 34.22447792974 Str:   5 MRstruts:   0 Thi: 0.4999997 
 145 Rop: 34.22420878597 Str:   6 MRstruts:   0 Thi: 0.4999997 
 146 Rop: 34.22292187801 Str:   7 MRstruts:   0 Thi: 0.4999997 
 147 Rop: 34.22224316094 Str:   8 MRstruts:   0 Thi: 0.4999996 
 148 Rop: 34.22185906092 Str:   9 MRstruts:   0 Thi: 0.4999996 
 149 Rop: 34.22155090488 Str:  10 MRstruts:   0 Thi: 0.4999996 
 150 Rop: 34.22149768192 Str:  11 MRstruts:   0 Thi: 0.4999995 
 151 Rop: 34.22140821465 Str:  12 MRstruts:   0 Thi: 0.4999995 
 152 Rop: 34.21700516061 Str:  17 MRstruts:   0 Thi: 0.4999014 
 153 Rop: 34.21699877969 Str:   2 MRstruts:   0 Thi: 0.5000000 
 154 Rop: 34.21667023100 Str:   3 MRstruts:   0 Thi: 0.4999999 
 155 Rop: 34.21619598312 Str:   3 MRstruts:   0 Thi: 0.4999999 
 156 Rop: 34.21620220271 Str:   4 MRstruts:   0 Thi: 0.4999997 
 157 Rop: 34.21472692547 Str:   5 MRstruts:   0 Thi: 0.4999997 
 158 Rop: 34.21440391663 Str:   6 MRstruts:   0 Thi: 0.4999997 
 159 Rop: 34.21361721980 Str:   7 MRstruts:   0 Thi: 0.4999996 
 160 Rop: 34.21349844404 Str:   9 MRstruts:   0 Thi: 0.4999977 
 161 Rop: 34.21320043575 Str:  10 MRstruts:   0 Thi: 0.4999977 
 162 Rop: 34.21286778599 Str:  11 MRstruts:   0 Thi: 0.4999977 
 163 Rop: 34.21223259698 Str:  12 MRstruts:   0 Thi: 0.4999976 
 164 Rop: 34.21123752981 Str:  14 MRstruts:   0 Thi: 0.4999975 
 165 Rop: 34.21109140832 Str:  16 MRstruts:   0 Thi: 0.4999975 
 166 Rop: 34.20842223072 Str:  17 MRstruts:   0 Thi: 0.4999973 
 167 Rop: 34.19118245108 Str:  25 MRstruts:   0 Thi: 0.4974530 
 168 Rop: 34.14744115981 Str:   2 MRstruts:   0 Thi: 0.4999948 
 169 Rop: 34.13887012420 Str:   3 MRstruts:   0 Thi: 0.4999946 
 170 Rop: 34.13016489939 Str:   4 MRstruts:   0 Thi: 0.4999943 
 171 Rop: 34.11912830501 Str:   5 MRstruts:   0 Thi: 0.4999934 
 172 Rop: 34.11526835797 Str:   7 MRstruts:   0 Thi: 0.4999882 
 173 Rop: 34.10521958649 Str:   8 MRstruts:   0 Thi: 0.4999879 
 174 Rop: 34.10256652784 Str:  10 MRstruts:   0 Thi: 0.4999709 
 175 Rop: 34.09689595652 Str:  11 MRstruts:   0 Thi: 0.4999706 
 176 Rop: 34.09349649707 Str:  14 MRstruts:   0 Thi: 0.4999664 
 177 Rop: 34.08981232842 Str:  15 MRstruts:   0 Thi: 0.4999660 
 178 Rop: 34.07663424939 Str:  21 MRstruts:   0 Thi: 0.4995016 
 179 Rop: 34.07658061769 Str:   2 MRstruts:   0 Thi: 0.5000000 
 180 Rop: 34.07648380233 Str:   2 MRstruts:   0 Thi: 0.5000000 
 181 Rop: 34.07649417844 Str:   3 MRstruts:   0 Thi: 0.4999997 
 182 Rop: 34.06731199377 Str:   3 MRstruts:   0 Thi: 0.4999996 
 183 Rop: 34.06729283586 Str:   4 MRstruts:   0 Thi: 0.4999996 
 184 Rop: 34.06383610834 Str:   5 MRstruts:   0 Thi: 0.4999993 
 185 Rop: 34.06247635756 Str:   6 MRstruts:   0 Thi: 0.4999993 
 186 Rop: 34.06022874823 Str:   7 MRstruts:   0 Thi: 0.4999993 
 187 Rop: 34.05818817386 Str:   8 MRstruts:   0 Thi: 0.4999993 
 188 Rop: 34.05785229755 Str:   9 MRstruts:   0 Thi: 0.4999993 
 189 Rop: 34.05619563728 Str:  11 MRstruts:   0 Thi: 0.4999993 
 190 Rop: 34.05427757670 Str:  12 MRstruts:   0 Thi: 0.4999991 
 191 Rop: 34.05369169519 Str:  15 MRstruts:   0 Thi: 0.4999909 
 192 Rop: 34.05039000031 Str:  17 MRstruts:   0 Thi: 0.4999283 
 193 Rop: 34.05039567555 Str:   2 MRstruts:   0 Thi: 0.4999998 
 194 Rop: 34.04865587437 Str:   3 MRstruts:   0 Thi: 0.4999998 
 195 Rop: 34.04850720671 Str:   4 MRstruts:   0 Thi: 0.4999998 
 196 Rop: 34.04836587179 Str:   5 MRstruts:   0 Thi: 0.4999997 
 197 Rop: 34.04818284113 Str:   6 MRstruts:   0 Thi: 0.4999997 
 198 Rop: 34.04803613979 Str:   6 MRstruts:   0 Thi: 0.4999997 
 199 Rop: 34.04787764726 Str:   7 MRstruts:   0 Thi: 0.4999997 
 200 Rop: 34.04759588996 Str:   8 MRstruts:   0 Thi: 0.4999997 
 201 Rop: 34.04743766752 Str:   9 MRstruts:   0 Thi: 0.4999997 
 202 Rop: 34.04733722232 Str:  11 MRstruts:   0 Thi: 0.4999997 
 203 Rop: 34.04686185575 Str:  14 MRstruts:   0 Thi: 0.4999970 
 204 Rop: 34.04638888927 Str:  15 MRstruts:   0 Thi: 0.4999970 
 205 Rop: 34.04311676796 Str:  19 MRstruts:   0 Thi: 0.4998828 
 206 Rop: 34.04311637099 Str:   2 MRstruts:   0 Thi: 0.4999999 
 207 Rop: 34.04181653398 Str:   2 MRstruts:   0 Thi: 0.4999999 
 208 Rop: 34.04180188091 Str:   3 MRstruts:   0 Thi: 0.4999999 
 209 Rop: 34.04060236685 Str:   5 MRstruts:   0 Thi: 0.4999873 
 210 Rop: 34.03980749369 Str:   7 MRstruts:   0 Thi: 0.4999873 
 211 Rop: 34.03917488009 Str:   9 MRstruts:   0 Thi: 0.4999873 
 212 Rop: 34.03849958759 Str:  13 MRstruts:   0 Thi: 0.4999872 
 213 Rop: 34.03765866981 Str:  15 MRstruts:   0 Thi: 0.4999871 
 214 Rop: 34.03706518072 Str:  16 MRstruts:   0 Thi: 0.4999871 
 215 Rop: 34.03626922475 Str:  18 MRstruts:   0 Thi: 0.4999871 
 216 Rop: 34.03467125140 Str:  20 MRstruts:   0 Thi: 0.4999871 
 217 Rop: 34.00763317879 Str:  21 MRstruts:   0 Thi: 0.4999327 
 218 Rop: 34.00751262894 Str:   2 MRstruts:   0 Thi: 0.5000000 
 219 Rop: 34.00622355736 Str:   3 MRstruts:   0 Thi: 0.4999998 
 220 Rop: 34.00607498690 Str:   4 MRstruts:   0 Thi: 0.4999998 
 221 Rop: 34.00589653436 Str:   5 MRstruts:   0 Thi: 0.4999998 
 222 Rop: 34.00581597056 Str:   6 MRstruts:   0 Thi: 0.4999998 
 223 Rop: 34.00562453442 Str:   7 MRstruts:   0 Thi: 0.4999998 
 224 Rop: 34.00559061799 Str:   8 MRstruts:   0 Thi: 0.4999998 
 225 Rop: 34.00554223012 Str:   9 MRstruts:   0 Thi: 0.4999998 
 226 Rop: 34.00530037051 Str:  10 MRstruts:   0 Thi: 0.4999998 
