1 0 0
2 3 0
3 0 0
4 1 0
5 2 0
6 2 0
7 2 0
8 3 0
9 4 0
10 1 0
11 2 0
12 2 0
13 3 0
14 1 0
15 1 0
16 2 0
17 3 0
18 2 0
19 0 0
20 1 0
21 2 0
22 1 0
23 2 0
24 3 0
25 0 0
26 0 0
27 0 0
28 1 0
29 2 0
30 3 0
31 1 0
32 1 0
33 2 0
34 3 0
35 0 0
36 0 0
37 1 0
38 2 0
39 3 0
40 0 0
41 0 0
42 0 0
43 1 0
44 2 0
45 3 0
46 0 0
47 0 0
48 1 0
49 2 0
50 3 0
51 1 0
52 2 0
53 3 0
54 4 0
55 1 0
56 1 0
57 2 0
58 2 0
59 3 0
60 3 0
61 4 0
62 1 0
63 1 0
64 2 0
65 2 0
66 3 0
67 3 0
68 4 0
69 3 0
70 1 0
71 2 0
72 2 0
73 3 0
74 2 0
75 3 0
76 4 0
77 5 0
78 6 2
79 1 0
80 2 0
81 2 0
82 3 0
83 4 0
84 5 0
85 6 0
86 7 0
87 6 0
88 2 0
89 3 0
90 3 0
91 4 0
92 4 0
93 5 0
94 6 0
95 7 0
96 3 0
97 1 0
98 2 0
99 3 0
100 4 0
101 5 0
102 6 0
103 7 0
104 3 0
105 7 0
106 4 0
107 1 0
108 1 0
109 2 0
110 3 0
111 4 0
112 5 0
113 6 0
114 7 0
115 3 0
116 7 0
117 4 1
118 1 0
119 1 0
120 2 0
121 3 0
122 4 0
123 5 0
124 6 0
125 6 0
126 7 0
127 7 0
128 8 0
129 4 0
130 8 0
131 10 0
132 2 0
133 2 0
134 3 0
135 4 0
136 5 0
137 6 0
138 7 0
139 8 0
140 8 1
141 1 0
142 2 0
143 2 0
144 3 0
145 4 0
146 5 0
147 6 0
148 7 0
149 7 0
150 8 0
151 8 0
152 8 1
153 8 2
154 0 1
155 0 2
156 1 2
157 2 2
158 3 2
159 4 2
160 5 2
161 6 2
162 7 2
163 8 2
164 8 2
165 0 1
166 0 1
167 0 2
168 0 2
169 1 2
170 2 2
171 2 2
172 3 2
173 4 2
174 5 2
175 6 2
176 7 2
177 8 2
178 9 1
179 1 0
180 2 0
181 3 0
182 4 0
183 5 0
184 6 0
185 7 0
186 7 0
187 7 1
188 7 2
189 8 2
190 9 2
191 9 3
192 9 2
193 0 1
194 0 2
195 1 2
196 2 2
197 3 2
198 4 2
199 5 2
200 6 2
201 7 2
202 7 3
203 8 3
204 8 4
205 9 1
206 1 0
207 1 1
208 2 1
209 2 2
210 3 2
211 4 2
212 5 2
213 6 2
214 6 3
215 7 3
216 7 4
217 8 2
218 8 4
219 1 1
220 1 2
221 3 2
222 3 3
223 4 3
224 6 3
225 6 4
226 7 4
227 8 4
228 8 5
229 7 0
230 9 0
231 9 2
232 9 4
233 9 5
234 9 5
235 9 6
236 9 1
237 1 1
238 2 1
239 2 1
240 3 1
241 4 1
242 5 1
243 6 1
244 7 1
245 7 2
246 7 3
247 7 4
248 9 5
249 9 6
250 9 7
