1 0 0
2 0 0
3 1 0
4 1 0
5 2 0
6 3 0
7 4 0
8 1 0
9 2 0
10 3 0
11 4 0
12 6 0
13 2 0
14 3 0
15 3 0
16 4 0
17 5 0
18 6 0
19 1 0
20 2 0
21 3 0
22 4 0
23 5 0
24 6 0
25 8 0
26 9 0
27 11 0
28 14 0
29 1 0
30 2 0
31 2 0
32 3 0
33 4 0
34 5 0
35 6 0
36 10 0
37 11 0
38 13 0
39 14 0
40 16 0
41 18 0
42 2 0
43 4 0
44 5 0
45 6 0
46 8 0
47 9 0
48 10 0
49 11 0
50 12 0
51 14 0
52 15 0
53 16 0
54 18 0
55 20 0
56 24 0
57 4 0
58 6 0
59 7 0
60 9 0
61 11 0
62 12 0
63 13 0
64 14 0
65 16 0
66 18 0
67 20 0
68 22 0
69 23 0
70 26 0
71 1 0
72 2 0
73 3 0
74 4 0
75 5 0
76 6 0
77 7 0
78 8 0
79 9 0
80 10 0
81 11 0
82 13 0
83 15 0
84 17 0
85 18 0
86 21 0
87 23 0
88 24 0
89 27 0
90 1 0
91 3 0
92 3 0
93 4 0
94 5 0
95 6 0
96 7 0
97 8 0
98 9 0
99 10 0
100 11 0
101 13 0
102 15 0
103 17 0
104 17 0
105 19 0
106 21 0
107 23 0
108 31 0
109 0 0
110 1 0
111 2 0
112 2 0
113 3 0
114 5 0
115 6 0
116 7 0
117 8 0
118 9 0
119 11 0
120 13 0
121 14 0
122 16 0
123 18 0
124 20 0
125 22 0
126 25 0
127 27 0
128 29 0
129 34 0
130 6 0
131 7 0
132 13 0
133 20 0
134 23 0
135 28 0
136 30 0
137 33 0
138 37 0
139 0 0
140 0 0
141 1 0
142 2 0
143 3 0
144 4 0
145 5 0
146 6 0
147 7 0
148 8 0
149 9 0
150 11 0
151 13 0
152 21 0
153 24 0
154 30 0
155 32 0
156 33 0
157 40 0
158 49 0
159 3 0
160 5 0
161 6 0
162 7 0
163 8 0
164 9 0
165 10 0
166 11 0
167 12 0
168 13 0
169 14 0
170 16 0
171 18 0
172 19 0
173 20 0
174 22 0
175 24 0
176 26 0
177 28 0
178 29 0
179 33 0
180 35 0
181 37 0
182 38 0
183 40 0
184 41 0
185 45 0
186 46 0
187 49 0
188 51 0
189 53 0
190 55 0
191 63 0
192 2 0
193 2 0
194 4 0
195 5 0
196 6 0
197 7 0
198 8 0
199 10 0
200 11 0
201 12 0
202 13 0
203 14 0
204 16 0
205 17 0
206 19 0
207 20 0
208 21 0
209 23 0
210 25 0
211 27 0
212 29 0
213 31 0
214 33 0
215 34 0
216 36 0
217 44 0
218 46 0
219 49 0
220 53 0
221 54 0
222 63 0
223 1 0
224 2 0
225 3 0
226 4 0
227 5 0
228 6 0
229 7 0
230 8 0
231 10 0
232 11 0
233 12 0
234 13 0
235 15 0
236 16 0
237 18 0
238 19 0
239 21 0
240 23 0
241 25 0
242 27 0
243 29 0
244 31 0
245 32 0
246 33 0
247 35 0
248 39 0
249 43 0
250 45 0
251 46 0
252 51 0
253 52 0
254 56 0
255 57 0
256 64 0
257 4 0
258 5 0
259 9 0
260 13 0
261 14 0
262 20 0
263 22 0
264 24 0
265 33 0
266 35 0
267 37 0
268 44 0
269 46 0
270 51 0
271 54 0
272 56 0
273 58 0
274 59 0
275 61 0
276 63 0
277 64 0
278 72 0
279 2 0
280 2 0
281 3 0
282 4 0
283 5 0
284 6 0
285 7 0
286 9 0
287 10 0
288 11 0
289 12 0
290 13 0
291 14 0
292 15 0
293 16 0
294 18 0
295 20 0
296 22 0
297 24 0
298 26 0
299 27 0
300 28 0
