1 1.17981 M
2 1.1955 M
3 1.35378 M
4 1.35384 M
5 1.3546 M
6 1.35634 M
7 1.35834 M
8 1.37187 M
9 1.37225 M
10 1.37326 M
11 1.37439 M
12 1.37575 M
13 1.38953 M
14 1.39053 M
15 1.39156 M
16 1.3923 M
17 1.39615 M
18 1.39708 M
19 1.41028 M
20 1.41028 M
21 1.41045 M
22 1.41119 M
23 1.41293 M
24 1.41324 M
25 1.41435 M
26 1.41786 M
27 1.4189 M
28 1.42152 M
29 1.43472 M
30 1.43494 M
31 1.43494 M
32 1.43509 M
33 1.43584 M
34 1.4375 M
35 1.4375 M
36 1.4389 M
37 1.43942 M
38 1.44083 M
39 1.44176 M
40 1.44221 M
41 1.44305 M
42 1.45647 M
43 1.45647 M
44 1.45813 M
45 1.45813 M
46 1.45813 M
47 1.45982 M
48 1.46112 M
49 1.46164 M
50 1.46191 M
51 1.46257 M
52 1.46429 M
53 1.46463 M
54 1.46584 M
55 1.46742 M
56 1.46898 M
57 1.48219 M
58 1.48218 M
59 1.48318 M
60 1.48444 M
61 1.48497 M
62 1.48497 M
63 1.48558 M
64 1.48624 M
65 1.48688 M
66 1.48718 M
67 1.4886 M
68 1.48956 M
69 1.48997 M
70 1.49199 M
71 1.50519 M
72 1.50519 M
73 1.50519 M
74 1.50519 M
75 1.50545 M
76 1.50545 M
77 1.50645 M
78 1.50645 M
79 1.50688 M
80 1.50688 M
81 1.5074 M
82 1.50801 M
83 1.50871 M
84 1.5103 M
85 1.5103 M
86 1.51225 M
87 1.5128 M
88 1.51385 M
89 1.51407 M
90 1.52728 M
91 1.52757 M
92 1.52759 M
93 1.52757 M
94 1.52783 M
95 1.52782 M
96 1.52817 M
97 1.52815 M
98 1.52859 M
99 1.52858 M
100 1.52913 M
101 1.52972 M
102 1.53044 M
103 1.53122 M
104 1.53203 M
105 1.53378 M
106 1.53477 M
107 1.53476 M
108 1.53723 M
109 1.3922 M
110 1.55043 M
111 1.55042 M
112 1.55043 M
113 1.55042 M
114 1.55043 M
115 1.55042 M
116 1.55077 M
117 1.55075 M
118 1.55077 M
119 1.55127 M
120 1.5519 M
121 1.55188 M
122 1.5519 M
123 1.55188 M
124 1.5519 M
125 1.55188 M
126 1.5519 M
127 1.55341 M
128 1.5542 M
129 1.55663 M
130 1.56984 M
131 1.57016 M
132 1.57079 M
133 1.57077 M
134 1.57079 M
135 1.57227 M
136 1.5737 M
137 1.5753 M
138 1.57903 M
139 1.43399 M
140 1.43401 M
141 1.59221 M
142 1.59222 M
143 1.59221 M
144 1.59222 M
145 1.5927 M
146 1.59271 M
147 1.5937 M
148 1.59372 M
149 1.5937 M
150 1.59424 M
151 1.59422 M
152 1.59572 M
153 1.5957 M
154 1.59572 M
155 1.5957 M
156 1.59636 M
157 1.59845 M
158 1.60255 M
159 1.61575 M
160 1.61624 M
161 1.61624 M
162 1.61624 M
163 1.61624 M
164 1.61624 M
165 1.61624 M
166 1.61624 M
167 1.61682 M
168 1.61682 M
169 1.61682 M
170 1.61758 M
171 1.61758 M
172 1.61847 M
173 1.61847 M
174 1.61847 M
175 1.61847 M
176 1.61897 M
177 1.61948 M
178 1.61998 M
179 1.62048 M
180 1.62099 M
181 1.6225 M
182 1.62418 M
183 1.62418 M
184 1.62621 M
185 1.62849 M
186 1.63121 M
187 1.63278 M
188 1.6346 M
189 1.63644 M
190 1.63687 M
191 1.63913 M
192 1.65233 M
193 1.65233 M
194 1.65233 M
195 1.65233 M
196 1.65233 M
197 1.653 M
198 1.653 M
199 1.653 M
200 1.653 M
201 1.653 M
202 1.653 M
203 1.653 M
204 1.653 M
205 1.65379 M
206 1.65468 M
207 1.65468 M
208 1.65565 M
209 1.65565 M
210 1.65565 M
211 1.65565 M
212 1.65565 M
213 1.65565 M
214 1.65565 M
215 1.6562 M
216 1.65678 M
217 1.65678 M
218 1.65852 M
219 1.65852 M
220 1.65852 M
221 1.65955 M
222 1.6628 M
223 1.67599 M
224 1.67599 M
225 1.67599 M
226 1.67599 M
227 1.67599 M
228 1.67599 M
229 1.67667 M
230 1.67667 M
231 1.67667 M
232 1.6772 M
233 1.6772 M
234 1.6772 M
235 1.6779 M
236 1.6779 M
237 1.6779 M
238 1.67879 M
239 1.67976 M
240 1.67976 M
241 1.67976 M
242 1.67976 M
243 1.67976 M
244 1.67976 M
245 1.67976 M
246 1.67976 M
247 1.67976 M
248 1.67976 M
249 1.68048 M
250 1.68048 M
251 1.68048 M
252 1.68048 M
253 1.68111 M
254 1.68202 M
255 1.68248 M
256 1.6832 M
257 1.6964 M
258 1.6964 M
259 1.6964 M
260 1.6964 M
261 1.6964 M
262 1.6964 M
263 1.6964 M
264 1.6964 M
265 1.6964 M
266 1.6964 M
267 1.6964 M
268 1.6964 M
269 1.69731 M
270 1.69809 M
271 1.69809 M
272 1.69809 M
273 1.69809 M
274 1.69872 M
275 1.69873 M
276 1.69872 M
277 1.69875 M
278 1.70168 M
279 1.7149 M
280 1.71487 M
281 1.7149 M
282 1.71487 M
283 1.7149 M
284 1.71487 M
285 1.7149 M
286 1.71487 M
287 1.7149 M
288 1.71487 M
289 1.71489 M
290 1.71487 M
291 1.71489 M
292 1.71558 M
293 1.71559 M
294 1.71558 M
295 1.71559 M
296 1.71558 M
297 1.71559 M
298 1.71558 M
299 1.71559 M
300 1.71558 M
