# Curvature data file for data/reference/trefoil_3.1_plcurve_kl400.vect output from plcurvature
# VECT file has 1 components, 400 verts 
# cp = component #, vt = vertex # 
# s = arclength from vertex 0 to vertex (vt+1), k = curvature, 1/k radius of curvature 
# cp    vt     s     k       1/k     
      0    146 12.0344 0.595174  1.68018 
      0    147 12.1162 0.636711  1.57057 
      0    148 12.1991 0.653565  1.53007 
      0    149 12.2788 0.969485  1.03148 
      0    150 12.3616  1.00002 0.999983 
      0    151 12.4428 0.765626  1.30612 
      0    152 12.5251 0.465636   2.1476 
      0    153 12.6082 0.637886  1.56768 
      0    154 12.6889 0.463542   2.1573 
      0    155 12.7718 0.668657  1.49554 
      0    156 12.8518  1.00004 0.999958 
      0    157 12.935 0.976219  1.02436 
      0    158 13.0165 0.700823  1.42689 
      0    159 13.0986 0.697464  1.43377 
      0    160 13.1803  0.64325   1.5546 
      0    161 13.2624 0.601085  1.66366 
      0    162 13.3441 0.553876  1.80546 
      0    163 13.4261 0.554009  1.80502 
      0    164 13.5079 0.543795  1.83893 
      0    165 13.5899 0.536391  1.86431 
      0    166 13.6717 0.535947  1.86586 
      0    167 13.7536 0.538866  1.85575 
      0    168 13.8354 0.531863  1.88018 
      0    169 13.9173 0.528075  1.89367 
      0    170 13.9992 0.511144   1.9564 
      0    171 14.081 0.517371  1.93285 
      0    172 14.163 0.511399  1.95542 
      0    173 14.2448 0.513651  1.94685 
      0    174 14.3267 0.503602  1.98569 
      0    175 14.4086 0.509133  1.96412 
      0    176 14.4904 0.508847  1.96523 
      0    177 14.5723 0.510845  1.95754 
      0    178 14.6541 0.505649  1.97766 
      0    179 14.736 0.506638   1.9738 
      0    180 14.8179 0.504493  1.98219 
      0    181 14.8998 0.502718  1.98919 
      0    182 14.9817 0.502952  1.98826 
      0    183 15.0634 0.507548  1.97026 
      0    184 15.1455 0.492826  2.02911 
      0    185 15.2271 0.514246  1.94459 
      0    186 15.3092 0.505554  1.97803 
      0    187 15.3909 0.492279  2.03137 
      0    188 15.4728 0.510721  1.95801 
      0    189 15.5548  0.49244   2.0307 
      0    190 15.6364 0.516967  1.93436 
      0    191 15.7188 0.483988  2.06617 
      0    192 15.7999  0.52069  1.92053 
      0    193 15.8825 0.503699  1.98531 
      0    194 15.9638 0.495826  2.01684 
      0    195 16.0461 0.520209   1.9223 
      0    196 16.1276 0.492081  2.03218 
      0    197 16.2098 0.506296  1.97513 
      0    198 16.2915 0.493518  2.02627 
      0    199 16.3734 0.517394  1.93276 
      0    200 16.4553 0.487824  2.04992 
      0    201 16.5371 0.498501  2.00602 
      0    202 16.619 0.502708  1.98923 
      0    203 16.7009 0.503129  1.98756 
      0    204 16.7827 0.500779  1.99689 
      0    205 16.8646 0.500004  1.99998 
      0    206 16.9465 0.502647  1.98947 
      0    207 17.0284 0.497053  2.01186 
      0    208 17.1101 0.510193  1.96004 
      0    209 17.1923 0.487669  2.05057 
      0    210 17.2738 0.509596  1.96234 
      0    211 17.356 0.508519  1.96649 
      0    212 17.4376 0.487357  2.05188 
      0    213 17.5196 0.513318  1.94811 
      0    214 17.6014 0.494909  2.02057 
      0    215 17.6832 0.503304  1.98687 
      0    216 17.7652 0.499892  2.00043 
      0    217 17.847 0.499869  2.00052 
      0    218 17.9289 0.506642  1.97378 
      0    219 18.0108 0.497431  2.01033 
      0    220 18.0926 0.504075  1.98383 
      0    221 18.1746 0.495927  2.01643 
      0    222 18.2563 0.499626   2.0015 
      0    223 18.3383 0.505117  1.97974 
      0    224 18.4201 0.493996  2.02431 
      0    225 18.5019 0.512236  1.95222 
      0    226 18.5839 0.497832  2.00871 
      0    227 18.6656 0.503325  1.98679 
      0    228 18.7477 0.499047  2.00382 
      0    229 18.8293 0.507814  1.96923 
      0    230 18.9115 0.495016  2.02014 
      0    231 18.9931 0.501169  1.99534 
      0    232 19.0751 0.506905  1.97276 
      0    233 19.1569 0.490862  2.03723 
      0    234 19.2388 0.502919  1.98839 
      0    235 19.3207 0.500859  1.99657 
      0    236 19.4025 0.502211   1.9912 
      0    237 19.4844 0.499146  2.00342 
      0    238 19.5662 0.504412  1.98251 
      0    239 19.6482 0.500728  1.99709 
      0    240 19.7299 0.503388  1.98654 
      0    241 19.812  0.49526  2.01914 
